sta_code,sku_code,长(CM),宽(CM),高(CM),qty
ODO1694009215440871,SX4863-960,28.4,20.2,12,1
ODO1694009215440871,CW2288-001,34,21,12,1
ODO1694009215440871,SX4863-960,28.4,20.2,12,1
ODO1694009215440871,SX4863-960,28.4,20.2,12,1
ODO1694018151807440,DD6482-010,21,19,1.5,1
ODO1694018151807440,FV2860-133,25.2,17.2,3.6,1
ODO1694009036773453,DX5392-325,30.9,28.2,8.9,1
ODO1694009036773453,FN8927-621,33.6,21.7,12,1
TBNK2309333283,DB0490-010,41.5,15,2,1
TBNK2309333283,DM3493-002,32.4,17.7,11.8,5
ODO1694002243099223,HA5507-100,37.8,13.2,4.4,1
ODO1694002243099223,DX4397-103,32,23.4,12.2,1
ODO1694002243099223,HA5507-100,37.8,13.2,4.4,1
ODO1694002243099223,DX4397-103,31.8,23.4,12.2,1
ODO1694002243099223,DX4397-103,32,23,12,1
TBBN2309035165,DR1343-451,32,26,1,1
TBBN2309035165,FJ7236-483,37.3,31.1,2,1
TBBN2309035165,DX5386-101,45.1,41.4,5.6,1
TBBN2309035165,DH3437-405,28.4,21.8,10.4,1
ODO1694011731142202,DV1296-010,50,39,4,1
ODO1694011731142202,DV1296-010,50,39,4,1
ODO1694011731142202,FB1394-101,30.5,21,11.5,1
ODO1694027869406171,FQ0689-010,37,32,2,1
ODO1694027869406171,FN6968-025,31,21.6,11.4,1
ODO1694027869406171,FQ0694-100,36,24,0.9,1
ODO1694027869406171,FN8913-141,30,22,12,1
ODO169423145036012,FD3019-010,26,16.2,4,1
ODO169423145036012,FV5836-100,15.1,8.4,4,1
ODO169423145036012,FQ0706-010,26.6,21.3,5,1
ODO169423145036012,CQ4298-010,28,21,4,1
ODO169423145036012,FV2705-100,26,13,0.5,1
ODO169423145036012,DX5486-010,10,7.4,4.1,1
TBNK2309331362,DD2795-011,28,24,5.2,1
TBNK2309331362,DV0834-100,33.4,21,11.4,1
TBNK2309331362,DM3493-002,30.1,18.9,10.6,1
ODO1694008979647370,HA5507-100,37.8,13.2,4.4,1
ODO1694008979647370,DV5304-219,36.6,23.2,4.6,1
ODO1694008979647370,HA5507-100,37.8,13.2,4.4,1
ODO1694008979647370,HA5507-100,37.8,13.2,4.4,1
ODO1694008979647370,DX4397-103,32,22.8,12,1
ODO1694011310709709,DQ5922-010,50.7,33.9,8.4,1
ODO1694011310709709,DV3853-102,31.8,23,12,1
ODO169400429247662,DN3592-010,49,40,5.9,1
ODO169400429247662,CW2288-001,34,21,12,1
ODO1694002390391251,FD2377-010,24,22.5,2.5,1
ODO1694002390391251,FD2377-010,24,22.5,2.5,1
ODO1694002390391251,FD2377-010,26,21,1.6,1
ODO1694002390391251,DV4345-100,33.6,20.8,11.4,1
ODO1694002390391251,DV2436-100,35.2,24.6,13.4,1
ODO1694002390391251,FD2377-010,26,21,1.6,1
ODO169426876991193,CK6366-010,38,28,3.6,1
ODO169426876991193,CK6366-010,38,28,3.6,1
ODO169426876991193,CJ9179-200,34.4,23.6,12.4,1
TBBN2309029073,FQ6993-072,11.1,7.7,4.8,1
TBBN2309029073,DQ0473-100,23.1,17.4,11.6,1
TBBN2309029073,FJ1806-300,25,19.6,12,1
TBNK2309260078,DH9553-100,28,20,2,1
TBNK2309260078,DV2019-101,33.4,20.2,11.4,1
TBNK2309260078,DV7885-010,40,30,1.1,1
TBNK2309337204,DD1914-010,28,22,0.6,1
TBNK2309337204,DD1914-010,30,27,0.9,1
TBNK2309337204,DA7245-001,34.41,23.44,12.07,1
TBNK2309337204,DD1914-010,31,25,1,1
